CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	LSTAT	MEDV
1.13081	0.00	8.140	0,00	0.5380	1910340,00	94.10	157146,00	4,00	307.0	21.00	22.60	25903,00
1.35472	0.00	8.140	0,00	0.5380	6.0720	100.00	4.1750	4,00	307.0	21.00	44664,00	14.50
1.38799	0.00	8.140	0,00	0.5380	2775965,00	82.00	2922001,00	4,00	307.0	21.00	27.71	13.20
1.15172	0.00	8.140	0,00	0.5380	1866511,00	95.00	2181290,00	4,00	307.0	21.00	18.35	44847,00
1.61282	0.00	8.140	0,00	0.5380	6.0960	96.90	2081213,00	4,00	307.0	21.00	20.34	13.50
0.06417	0.00	5.960	0,00	0.4990	2713874,00	68.20	622069,00	5,00	279.0	19.20	25082,00	18.90
0.09744	0.00	5.960	0,00	0.4990	2377851,00	61.40	686352,00	5,00	279.0	19.20	15281,00	20.00
0.08014	0.00	5.960	0,00	0.4990	2410723,00	41.50	2718196,00	5,00	279.0	19.20	28338,00	21.00
0.17505	0.00	5.960	0,00	0.4990	2834405,00	30.20	2400801,00	5,00	279.0	19.20	41548,00	24.70
0.02763	75.00	2.950	0,00	0.4280	1479385,00	21.80	771149,00	3,00	252.0	18.30	11780,00	30.80
0.03359	75.00	2.950	0,00	0.4280	7.0240	15.80	771149,00	3,00	252.0	18.30	35796,00	34.90
0.12744	0.00	6.910	0,00	0.4480	2118560,00	32905,00	1939195,00	3,00	233.0	17.90	30773,00	26.60
0.14150	0.00	6.910	0,00	0.4480	6.1690	22068,00	1939195,00	3,00	233.0	17.90	29707,00	25.30
0.15936	0.00	6.910	0,00	0.4480	76854,00	18415,00	1939195,00	3,00	233.0	17.90	16254,00	24.70
0.12269	0.00	6.910	0,00	0.4480	6.0690	40.00	1939195,00	3,00	233.0	17.90	20333,00	21.20
0.17142	0.00	6.910	0,00	0.4480	1797116,00	33.80	5.1004	3,00	233.0	17.90	44470,00	19.30
0.18836	0.00	6.910	0,00	0.4480	2176968,00	33.30	5.1004	3,00	233.0	17.90	14.15	20.00
0.22927	0.00	6.910	0,00	0.4480	6.0300	85.50	1824144,00	3,00	233.0	17.90	18.80	16.60
0.25387	0.00	6.910	0,00	0.4480	763479,00	95.30	2483771,00	3,00	233.0	17.90	30.81	14.40
0.21977	0.00	6.910	0,00	0.4480	1504922,00	62.00	6.0877	3,00	233.0	17.90	16.20	19.40
0.08873	21.00	5.640	0,00	0.4390	2823447,00	45.70	2281823,00	4,00	243.0	16.80	13.45	19.70
0.04337	21.00	5.640	0,00	0.4390	6.1150	63.00	2281823,00	4,00	243.0	16.80	15950,00	20.50
0.05360	21.00	5.640	0,00	0.4390	1172581,00	44855,00	2281823,00	4,00	243.0	16.80	46874,00	25.00
0.04981	21.00	5.640	0,00	0.4390	2951282,00	21.40	2281823,00	4,00	243.0	16.80	15919,00	23.40
0.01360	75.00	4.000	0,00	0.4100	2549516,00	47.60	473903,00	3,00	469.0	44855,00	14.80	18.90
0.01311	90.00	1.220	0,00	0.4030	215677,00	21.90	1850533,00	5,00	226.0	17.90	29677,00	35.40
0.02055	85.00	0.740	0,00	0.4100	705071,00	35.70	9.1876	2,00	313.0	17.30	28246,00	24.70
0.01432	100.00	1.320	0,00	0.4110	2286572,00	40.50	492562,00	5,00	256.0	44849,00	34759,00	31.60
0.15445	25.00	5.130	0,00	0.4530	6.1450	29.20	2282219,00	8,00	284.0	19.70	31564,00	23.30
0.10328	25.00	5.130	0,00	0.4530	2691960,00	47.20	2710253,00	8,00	284.0	19.70	44805,00	19.60
0.14932	25.00	5.130	0,00	0.4530	2012608,00	66.20	129479,00	8,00	284.0	19.70	13.15	18.70
0.17171	25.00	5.130	0,00	0.4530	2834405,00	93.40	2295703,00	8,00	284.0	19.70	14.44	16.00
0.11027	25.00	5.130	0,00	0.4530	971699,00	67.80	129844,00	8,00	284.0	19.70	26816,00	22.20
0.12650	25.00	5.130	0,00	0.4530	2089341,00	43.40	2888886,00	8,00	284.0	19.70	18507,00	25.00
0.01951	17.50	1.380	0,00	0.4161	7.1040	59.50	120410,00	3,00	216.0	18.60	44689,00	33.00
0.03584	80.00	3.370	0,00	0.3980	365396,00	17.80	1539650,00	4,00	337.0	44850,00	24563,00	23.50
0.04379	80.00	3.370	0,00	0.3980	2180620,00	44865,00	1539650,00	4,00	337.0	44850,00	45566,00	19.40
0.05789	18598,00	6.070	0,00	0.4090	2512991,00	21.40	1125101,00	4,00	345.0	18.90	44842,00	22.00
0.13554	18598,00	6.070	0,00	0.4090	1475702,00	36.80	1125101,00	4,00	345.0	18.90	44817,00	17.40
0.12816	18598,00	6.070	0,00	0.4090	2538558,00	33.00	1125101,00	4,00	345.0	18.90	29068,00	20.90
0.08826	0.00	10.810	0,00	0.4130	829254,00	22068,00	355504,00	4,00	305.0	19.20	26451,00	24.20
0.15876	0.00	10.810	0,00	0.4130	2816142,00	17.50	355504,00	4,00	305.0	19.20	32387,00	21.70
0.09164	0.00	10.810	0,00	0.4130	6.0650	29403,00	355504,00	4,00	305.0	19.20	19115,00	22.80
0.19539	0.00	10.810	0,00	0.4130	201037,00	43983,00	355504,00	4,00	305.0	19.20	19906,00	23.40
0.07896	0.00	12.830	0,00	0.4370	303304,00	6.00	224716,00	5,00	398.0	18.70	28642,00	44858,00
0.09512	0.00	12.830	0,00	0.4370	350787,00	45.00	1141840,00	5,00	398.0	18.70	34547,00	21.40
0.10153	0.00	12.830	0,00	0.4370	325219,00	74.50	4.0522	5,00	398.0	18.70	35735,00	20.00
0.08707	0.00	12.830	0,00	0.4370	6.1400	45.80	4.0905	5,00	398.0	18.70	46661,00	20.80
0.05646	0.00	12.830	0,00	0.4370	153555,00	53.70	5.0141	5,00	398.0	18.70	12754,00	21.20
0.08387	0.00	12.830	0,00	0.4370	2498381,00	36.60	1141840,00	5,00	398.0	18.70	44843,00	20.30
0.04113	25.00	4.860	0,00	0.4260	1961506,00	33.50	769688,00	4,00	281.0	19.00	47239,00	28.00
0.04462	25.00	4.860	0,00	0.4260	1567044,00	70.40	769688,00	4,00	281.0	19.00	44743,00	23.90
0.03659	25.00	4.860	0,00	0.4260	409225,00	32.20	769688,00	4,00	281.0	19.00	26451,00	24.80
0.03551	25.00	4.860	0,00	0.4260	6.1670	46.70	769688,00	4,00	281.0	19.00	18810,00	22.90
0.05059	0.00	4.490	0,00	0.4490	726986,00	48.00	2152832,00	3,00	247.0	18.50	22890,00	23.90
0.05735	0.00	4.490	0,00	0.4490	1607220,00	56.10	904798,00	3,00	247.0	18.50	19511,00	26.60
0.05188	0.00	4.490	0,00	0.4490	6.0150	45.10	866448,00	3,00	247.0	18.50	31747,00	22.50
0.07151	0.00	4.490	0,00	0.4490	6.1210	56.80	2036654,00	3,00	247.0	18.50	16285,00	22.20
0.05660	0.00	3.410	0,00	0.4890	7.0070	86.30	846328,00	2,00	270.0	17.80	18384,00	23.60
0.05302	0.00	3.410	0,00	0.4890	7.0790	63.10	820031,00	2,00	270.0	17.80	25689,00	28.70
0.04684	0.00	3.410	0,00	0.4890	829254,00	66.10	3.0923	2,00	270.0	17.80	29799,00	22.60
0.03932	0.00	3.410	0,00	0.4890	785425,00	73.90	3.0921	2,00	270.0	17.80	44044,00	22.00
0.04203	28.00	15.040	0,00	0.4640	920565,00	53.60	1738250,00	4,00	270.0	18.20	42583,00	22.90
0.02875	28.00	15.040	0,00	0.4640	76854,00	28.90	1738250,00	4,00	270.0	18.20	44348,00	25.00
0.04294	28.00	15.040	0,00	0.4640	215647,00	77.30	1552342,00	4,00	270.0	18.20	21824,00	20.60
0.12204	0.00	2.890	0,00	0.4450	1588958,00	57.80	1114782,00	2,00	276.0	18.00	23894,00	28.40
0.11504	0.00	2.890	0,00	0.4450	6.1630	69.60	1114782,00	2,00	276.0	18.00	12724,00	21.40
0.12083	0.00	2.890	0,00	0.4450	8.0690	76.00	1114782,00	2,00	276.0	18.00	44287,00	38.70
0.08187	0.00	2.890	0,00	0.4450	2301211,00	36.90	1114782,00	2,00	276.0	18.00	20880,00	43.80
0.06860	0.00	2.890	0,00	0.4450	825632,00	62.50	1114782,00	2,00	276.0	18.00	43617,00	33.20
0.14866	0.00	8.560	0,00	0.5200	1961506,00	79.90	2146929,00	5,00	384.0	20.90	15585,00	27.50
0.11432	0.00	8.560	0,00	0.5200	2158736,00	71.30	2432914,00	5,00	384.0	20.90	24654,00	26.50
0.22876	0.00	8.560	0,00	0.5200	785425,00	85.40	1916460,00	5,00	384.0	20.90	23285,00	18.60
0.21161	0.00	8.560	0,00	0.5200	6.1370	87.40	1916460,00	5,00	384.0	20.90	13.44	19.30
0.13960	0.00	8.560	0,00	0.5200	6.1670	90.00	843743,00	5,00	384.0	20.90	12389,00	44854,00
0.13262	0.00	8.560	0,00	0.5200	2414375,00	96.70	2.1069	5,00	384.0	20.90	16.47	19.50
0.17120	0.00	8.560	0,00	0.5200	2359589,00	91.90	76734,00	5,00	384.0	20.90	18.66	19.50
0.13117	0.00	8.560	0,00	0.5200	6.1270	85.20	2.1224	5,00	384.0	20.90	44818,00	20.40
0.12802	0.00	8.560	0,00	0.5200	1037442,00	97.10	887207,00	5,00	384.0	20.90	46722,00	19.80
0.26363	0.00	8.560	0,00	0.5200	142598,00	91.20	1297009,00	5,00	384.0	20.90	15.55	19.40
0.10793	0.00	8.560	0,00	0.5200	18415,00	54.40	2146929,00	5,00	384.0	20.90	13.00	21.70
0.10084	0.00	10.010	0,00	0.5470	1917676,00	81.60	1780590,00	6,00	432.0	17.80	42644,00	22.80
0.12329	0.00	10.010	0,00	0.5470	2640825,00	92.90	596839,00	6,00	432.0	17.80	16.21	18.80
0.22212	0.00	10.010	0,00	0.5470	6.0920	95.40	1307601,00	6,00	432.0	17.80	44821,00	18.70
0.14231	0.00	10.010	0,00	0.5470	233909,00	84.20	242920,00	6,00	432.0	17.80	16711,00	18.50
0.17134	0.00	10.010	0,00	0.5470	2695613,00	88.20	997510,00	6,00	432.0	17.80	15.76	18.30
0.13158	0.00	10.010	0,00	0.5470	6.1760	72.50	1972708,00	6,00	432.0	17.80	44663,00	21.20
0.15098	0.00	10.010	0,00	0.5470	6.0210	82.60	2035895,00	6,00	432.0	17.80	11232,00	19.20
0.13058	0.00	10.010	0,00	0.5470	2491076,00	73.10	1050105,00	6,00	432.0	17.80	15.37	20.40
0.14476	0.00	10.010	0,00	0.5470	1976084,00	65.20	2078993,00	6,00	432.0	17.80	13.61	19.30
0.06899	0.00	25.650	0,00	0.5810	2483771,00	69.70	247303,00	2,00	188.0	44853,00	14.37	22.00
0.07165	0.00	25.650	0,00	0.5810	6.0040	84.10	27061,00	2,00	188.0	44853,00	14.27	20.30
0.09299	0.00	25.650	0,00	0.5810	2816142,00	92.90	2.0869	2,00	188.0	44853,00	17.93	20.50
0.15038	0.00	25.650	0,00	0.5810	2432638,00	97.00	2755391,00	2,00	188.0	44853,00	25.41	17.30
0.09849	0.00	25.650	0,00	0.5810	2516643,00	95.80	2.0063	2,00	188.0	44853,00	17.58	18.80
0.16902	0.00	25.650	0,00	0.5810	2907453,00	88.40	2932534,00	2,00	188.0	44853,00	14.81	21.40
0.38735	0.00	25.650	0,00	0.5810	1545098,00	95.60	2071657,00	2,00	188.0	44853,00	27.26	15.70
0.25915	0.00	21.890	0,00	0.6240	1837292,00	96.00	2185248,00	4,00	437.0	21.20	17.19	16.20
0.32543	0.00	21.890	0,00	0.6240	880387,00	98.80	2273637,00	4,00	437.0	21.20	15.39	18.00
0.88125	0.00	21.890	0,00	0.6240	1632756,00	94.70	2885053,00	4,00	437.0	21.20	18.34	14.30
0.34006	0.00	21.890	0,00	0.6240	979004,00	98.90	2.1185	4,00	437.0	21.20	22251,00	19.20
1.19294	0.00	21.890	0,00	0.6240	496884,00	97.70	295879,00	4,00	437.0	21.20	46357,00	19.60
0.59005	0.00	21.890	0,00	0.6240	664895,00	97.90	501877,00	4,00	437.0	21.20	44906,00	23.00
0.32982	0.00	21.890	0,00	0.6240	2308455,00	95.40	1022347,00	4,00	437.0	21.20	44635,00	18.40
0.97617	0.00	21.890	0,00	0.6240	2071047,00	98.40	569811,00	4,00	437.0	21.20	17.31	15.60
0.55778	0.00	21.890	0,00	0.6240	529755,00	98.20	2.1107	4,00	437.0	21.20	16.96	44852,00
0.32264	0.00	21.890	0,00	0.6240	2746746,00	93.50	2837572,00	4,00	437.0	21.20	16.90	17.40
0.35233	0.00	21.890	0,00	0.6240	964394,00	98.40	2409873,00	4,00	437.0	21.20	14.59	44851,00
0.24980	0.00	21.890	0,00	0.6240	2436290,00	98.20	1748053,00	4,00	437.0	21.20	21.32	13.30
0.54452	0.00	21.890	0,00	0.6240	6.1510	97.90	1748418,00	4,00	437.0	21.20	18.46	17.80
0.29090	0.00	21.890	0,00	0.6240	6.1740	93.60	1540960,00	4,00	437.0	21.20	24.16	14.00
1.62864	0.00	21.890	0,00	0.6240	5.0190	100.00	910917,00	4,00	437.0	21.20	34.41	14.40
3.32105	0.00	19.580	1,00	0.8710	778089,00	100.00	480661,00	5,00	403.0	14.70	26.82	13.40
4.09740	0.00	19.580	0,00	0.8710	1015497,00	100.00	810110,00	5,00	403.0	14.70	26.42	15.60
2.77974	0.00	19.580	0,00	0.8710	2604271,00	97.80	569415,00	5,00	403.0	14.70	29.29	29526,00
2.37934	0.00	19.580	0,00	0.8710	6.1300	100.00	836773,00	5,00	403.0	14.70	27.80	13.80
2.15505	0.00	19.580	0,00	0.8710	1599885,00	100.00	1192884,00	5,00	403.0	14.70	16.65	15.60
2.36862	0.00	19.580	0,00	0.8710	2688278,00	95.70	989078,00	5,00	403.0	14.70	29.53	14.60
2.33099	0.00	19.580	0,00	0.8710	5.1860	93.80	1240366,00	5,00	403.0	14.70	28.32	17.80
2.73397	0.00	19.580	0,00	0.8710	1486659,00	94.90	1226122,00	5,00	403.0	14.70	21.45	15.40
1.65660	0.00	19.580	0,00	0.8710	6.1220	97.30	1563240,00	5,00	403.0	14.70	44848,00	21.50
1.49632	0.00	19.580	0,00	0.8710	781742,00	100.00	1466815,00	5,00	403.0	14.70	13.28	19.60
1.12658	0.00	19.580	1,00	0.8710	5.0120	88.00	1534751,00	5,00	403.0	14.70	44907,00	15.30
2.14918	0.00	19.580	0,00	0.8710	1895731,00	98.50	1582232,00	5,00	403.0	14.70	15.79	19.40
1.41385	0.00	19.580	1,00	0.8710	6.1290	96.00	2043169,00	5,00	403.0	14.70	44910,00	17.00
3.53501	0.00	19.580	1,00	0.8710	6.1520	82.60	2028924,00	5,00	403.0	14.70	44607,00	15.60
2.44668	0.00	19.580	0,00	0.8710	299621,00	94.00	1995687,00	5,00	403.0	14.70	16.14	44847,00
1.22358	0.00	19.580	0,00	0.6050	2750429,00	97.40	2510314,00	5,00	403.0	14.70	21641,00	41.30
1.34284	0.00	19.580	0,00	0.6050	6.0660	100.00	2072023,00	5,00	403.0	14.70	15858,00	24.30
1.42502	0.00	19.580	0,00	0.8710	1168929,00	100.00	2103434,00	5,00	403.0	14.70	14427,00	23.30
1.27346	0.00	19.580	1,00	0.6050	219299,00	92.60	2222137,00	5,00	403.0	14.70	18384,00	27.00
1.46336	0.00	19.580	0,00	0.6050	1092259,00	90.80	2852181,00	5,00	403.0	14.70	26665,00	50.00
1.83377	0.00	19.580	1,00	0.6050	2235468,00	98.20	2.0407	5,00	403.0	14.70	33604,00	50.00
1.51902	0.00	19.580	1,00	0.6050	675913,00	93.90	2.1620	5,00	403.0	14.70	11749,00	50.00
2.24236	0.00	19.580	0,00	0.6050	2425333,00	91.80	847395,00	5,00	403.0	14.70	23682,00	22.70
2.92400	0.00	19.580	0,00	0.6050	6.1010	93.00	341170,00	5,00	403.0	14.70	29830,00	25.00
2.01019	0.00	19.580	0,00	0.6050	2699326,00	96.20	2.0459	5,00	403.0	14.70	25628,00	50.00
1.80028	0.00	19.580	0,00	0.6050	2509338,00	79.20	861640,00	5,00	403.0	14.70	41974,00	23.80
2.30040	0.00	19.580	0,00	0.6050	471316,00	96.10	2.1000	5,00	403.0	14.70	44845,00	23.80
2.44953	0.00	19.580	0,00	0.6050	774468,00	95.20	264834,00	5,00	403.0	14.70	11994,00	22.30
1.20742	0.00	19.580	0,00	0.6050	2502033,00	94.60	861640,00	5,00	403.0	14.70	14.43	17.40
2.31390	0.00	19.580	0,00	0.6050	2520296,00	97.30	725770,00	5,00	403.0	14.70	44632,00	44853,00
0.13914	0.00	4.050	0,00	0.5100	1395349,00	88.50	1483283,00	5,00	296.0	16.60	14.69	44857,00
0.09178	0.00	4.050	0,00	0.5100	825602,00	84.10	1666635,00	5,00	296.0	16.60	44660,00	23.60
0.08447	0.00	4.050	0,00	0.5100	2443595,00	68.70	1869709,00	5,00	296.0	16.60	23621,00	22.60
0.06664	0.00	4.050	0,00	0.5100	1300417,00	33.10	3.1323	5,00	296.0	16.60	12175,00	29.40
0.07022	0.00	4.050	0,00	0.5100	6.0200	47.20	1332831,00	5,00	296.0	16.60	44875,00	23.20
0.05425	0.00	4.050	0,00	0.5100	456706,00	73.40	465745,00	5,00	296.0	16.60	47270,00	24.60
0.06642	0.00	4.050	0,00	0.5100	2447278,00	74.40	2649137,00	5,00	296.0	16.60	33756,00	29.90
0.05780	0.00	2.460	0,00	0.4880	2885569,00	58.40	2333933,00	3,00	193.0	17.80	44656,00	37.20
0.06588	0.00	2.460	0,00	0.4880	2100328,00	83.30	2012519,00	3,00	193.0	17.80	20637,00	39.80
0.06888	0.00	2.460	0,00	0.4880	6.1440	62.20	1489857,00	3,00	193.0	17.80	16681,00	36.20
0.09103	0.00	2.460	0,00	0.4880	7.1550	92.20	1864961,00	3,00	193.0	17.80	30042,00	37.90
0.10008	0.00	2.460	0,00	0.4880	1362508,00	95.60	2399677,00	3,00	193.0	17.80	24959,00	32.50
0.08308	0.00	2.460	0,00	0.4880	1512227,00	89.80	2914303,00	3,00	193.0	17.80	13.98	26.40
0.06047	0.00	2.460	0,00	0.4880	6.1530	68.80	327684,00	3,00	193.0	17.80	13.15	29.60
0.05602	0.00	2.460	0,00	0.4880	2341387,00	53.60	33664,00	3,00	193.0	17.80	16528,00	50.00
0.07875	45.00	3.440	0,00	0.4370	2162389,00	41.10	2186403,00	5,00	398.0	15.20	24990,00	32.00
0.12579	45.00	3.440	0,00	0.4370	1336941,00	44863,00	1375961,00	5,00	398.0	15.20	20546,00	29.80
0.08370	45.00	3.440	0,00	0.4370	7.1850	38.90	1375961,00	5,00	398.0	15.20	14366,00	34.90
0.09068	45.00	3.440	0,00	0.4370	2779648,00	21.50	1058626,00	5,00	398.0	15.20	44839,00	37.00
0.06911	45.00	3.440	0,00	0.4370	2005335,00	30.80	1058626,00	5,00	398.0	15.20	25294,00	30.50
0.08664	45.00	3.440	0,00	0.4370	7.1780	26.30	1058626,00	5,00	398.0	15.20	31809,00	36.40
0.02187	60.00	2.930	0,00	0.4010	2228133,00	33117,00	108266,00	1,00	265.0	15.60	44625,00	44865,00
0.01439	60.00	2.930	0,00	0.4010	1512258,00	18.80	108266,00	1,00	265.0	15.60	13971,00	44863,00
0.01381	80.00	0.460	0,00	0.4220	2502094,00	32.00	1674395,00	4,00	255.0	14.40	35462,00	50.00
0.04011	80.00	1.520	0,00	0.4040	354469,00	34.10	434822,00	2,00	329.0	22251,00	44777,00	33.30
0.04666	80.00	1.520	0,00	0.4040	7.1070	36.60	434822,00	2,00	329.0	22251,00	22494,00	30.30
0.03768	80.00	1.520	0,00	0.4040	306987,00	38.30	434822,00	2,00	329.0	22251,00	22798,00	34.60
0.03150	95.00	1.470	0,00	0.4030	2867307,00	15.30	1692717,00	3,00	402.0	17.00	20546,00	34.90
0.01778	95.00	1.470	0,00	0.4030	7.1350	13.90	1692717,00	3,00	402.0	17.00	16528,00	32.90
0.03445	82.50	2.030	0,00	0.4150	6.1620	38.40	292347,00	2,00	348.0	14.70	15888,00	44858,00
0.02177	82.50	2.030	0,00	0.4150	1534202,00	15.70	292347,00	2,00	348.0	14.70	44868,00	42.30
0.03510	95.00	2.680	0,00	0.4161	2421741,00	33.20	5.1180	4,00	224.0	14.70	29646,00	48.50
0.02009	95.00	2.680	0,00	0.4161	8.0340	31.90	5.1180	4,00	224.0	14.70	32174,00	50.00
0.13642	0.00	10.590	0,00	0.4890	2560472,00	22.30	2759103,00	4,00	277.0	18.60	32051,00	22.60
0.22969	0.00	10.590	0,00	0.4890	496884,00	52.50	602377,00	4,00	277.0	18.60	35704,00	24.40
0.25199	0.00	10.590	0,00	0.4890	2166010,00	72.70	602377,00	4,00	277.0	18.60	44730,00	22.50
0.13587	0.00	10.590	1,00	0.4890	6.0640	59.10	179792,00	4,00	277.0	18.60	14.66	24.40
0.43571	0.00	10.590	1,00	0.4890	562596,00	100.00	2501972,00	4,00	277.0	18.60	44827,00	20.00
0.17446	0.00	10.590	1,00	0.4890	2812490,00	92.10	2509642,00	4,00	277.0	18.60	17.27	21.70
0.37578	0.00	10.590	1,00	0.4890	781742,00	88.60	1734963,00	4,00	277.0	18.60	23.98	19.30
0.21719	0.00	10.590	1,00	0.4890	2253669,00	53.80	1689673,00	4,00	277.0	18.60	44636,00	22.40
0.14052	0.00	10.590	0,00	0.4890	675852,00	32.30	2759103,00	4,00	277.0	18.60	14124,00	44862,00
0.28955	0.00	10.590	0,00	0.4890	810961,00	29465,00	1451900,00	4,00	277.0	18.60	29.55	23.70
0.19802	0.00	10.590	0,00	0.4890	6.1820	42.40	2759103,00	4,00	277.0	18.60	17411,00	25.00
0.04560	0.00	13.890	1,00	0.5500	2549516,00	56.00	3.1121	5,00	276.0	16.40	13.51	23.30
0.07013	0.00	13.890	0,00	0.5500	1651050,00	85.10	844136,00	5,00	276.0	16.40	25447,00	28.70
0.11069	0.00	13.890	1,00	0.5500	2779617,00	93.80	2554175,00	5,00	276.0	16.40	17.92	21.50
0.11425	0.00	13.890	1,00	0.5500	668547,00	92.40	633027,00	5,00	276.0	16.40	18537,00	23.00
0.35809	0.00	6.200	1,00	0.5070	2779648,00	88.50	2453367,00	8,00	307.0	17.40	26177,00	26.70
0.40771	0.00	6.200	1,00	0.5070	6.1640	91.30	3.0480	8,00	307.0	17.40	21.46	21.70
0.62356	0.00	6.200	1,00	0.5070	2516674,00	77.70	299925,00	8,00	307.0	17.40	34213,00	27.50
0.61470	0.00	6.200	0,00	0.5070	1563392,00	80.80	299925,00	8,00	307.0	17.40	22098,00	44864,00
0.31533	0.00	6.200	0,00	0.5040	277799,00	78.30	2572801,00	8,00	307.0	17.40	41730,00	44.80
0.52693	0.00	6.200	0,00	0.5040	1954262,00	83.00	2572801,00	8,00	307.0	17.40	23102,00	50.00
0.38214	0.00	6.200	0,00	0.5040	8.0400	86.50	93929,00	8,00	307.0	17.40	41334,00	37.60
0.41238	0.00	6.200	0,00	0.5040	7.1630	79.90	93929,00	8,00	307.0	17.40	13302,00	31.60
0.29819	0.00	6.200	0,00	0.5040	1811787,00	17.00	676125,00	8,00	307.0	17.40	33664,00	46.70
0.44178	0.00	6.200	0,00	0.5040	1322331,00	21.40	676125,00	8,00	307.0	17.40	27820,00	31.50
0.53700	0.00	6.200	0,00	0.5040	2889190,00	68.10	1758703,00	8,00	307.0	17.40	24047,00	24.30
0.46296	0.00	6.200	0,00	0.5040	811022,00	76.90	1758703,00	8,00	307.0	17.40	45778,00	31.70
0.57529	0.00	6.200	0,00	0.5070	537121,00	73.30	2368294,00	8,00	307.0	17.40	17199,00	41.70
0.33147	0.00	6.200	0,00	0.5070	208403,00	70.40	1687116,00	8,00	307.0	17.40	34759,00	48.30
0.44791	0.00	6.200	1,00	0.5070	1957854,00	66.50	1687116,00	8,00	307.0	17.40	44689,00	29.00
0.33045	0.00	6.200	0,00	0.5070	6.0860	61.50	1687116,00	8,00	307.0	17.40	32417,00	24.00
0.52058	0.00	6.200	1,00	0.5070	1610872,00	76.50	4.1480	8,00	307.0	17.40	19968,00	44859,00
0.51183	0.00	6.200	0,00	0.5070	613791,00	71.60	4.1480	8,00	307.0	17.40	26755,00	31.50
0.08244	30.00	4.930	0,00	0.4280	1063009,00	18.50	6.1899	6,00	300.0	16.60	13302,00	23.70
